Topic_0,Topic_1,Topic_2,Topic_3,Topic_4,Topic_5,Topic_6,Topic_7,Topic_8
0.038661,0.0030661614,0.16226591,0.580655,0.0027860547,0.1593377,0.0029630826,0.047572885,0.00269233
0.005700244,0.07949258,0.0058632977,0.0633812,0.0057284683,0.8209691,0.0065668887,0.00573022,0.0065680584
0.005806604,0.0054789106,0.0055748383,0.19838455,0.0054274756,0.52239555,0.11846098,0.07360383,0.064867266
0.004622294,0.15451393,0.033867255,0.003849448,0.10844956,0.003839275,0.6827466,0.0038378122,0.004273847
0.0651963,0.0056106825,0.005322589,0.005136134,0.043944843,0.47466004,0.00540635,0.38931978,0.0054033045
0.13652481,0.10302168,0.0040134043,0.024544343,0.024692465,0.30607736,0.028187947,0.3689891,0.00394885
0.09280549,0.021573598,0.035962887,0.0012547075,0.6393625,0.0011945311,0.18134637,0.025019825,0.0014801752
0.0031722458,0.003088943,0.0035836294,0.13299051,0.2947443,0.38624185,0.10275258,0.003035464,0.07039039
0.0035261456,0.28414997,0.0034538885,0.42723948,0.07276833,0.0033143635,0.1047812,0.06880072,0.031965986
0.059901394,0.09589492,0.018155184,0.13187438,0.0038762467,0.21351118,0.10358233,0.33737016,0.035834223
0.005316929,0.027198728,0.005355948,0.36093417,0.005444741,0.5492682,0.035567768,0.005327949,0.0055855834
0.0266803,0.02214361,0.0022163538,0.028498251,0.01753677,0.0020995364,0.76142704,0.12417621,0.015221922
0.004622919,0.004803624,0.11469699,0.017926455,0.0050623375,0.7931685,0.035711374,0.019503154,0.0045046257
0.003158707,0.0030825457,0.003115911,0.042118117,0.032923076,0.65090513,0.13191235,0.0029713553,0.1298128
0.14412683,0.4743417,0.076136634,0.0045399247,0.18380639,0.008429547,0.0049628033,0.004367908,0.099288315
0.0034623365,0.092003934,0.003588817,0.09296371,0.0034475643,0.6815685,0.04732164,0.071891025,0.003752461
0.06720209,0.19185427,0.002686186,0.0025193943,0.0028163441,0.011618218,0.7158597,0.0024989734,0.0029448245
0.0048730257,0.05430552,0.07557904,0.0044051576,0.0044900156,0.63365823,0.122528255,0.095737405,0.004423263
0.0029829848,0.03205419,0.16823389,0.1367573,0.043784074,0.39958352,0.003077489,0.0029680692,0.21055849
0.00448959,0.004527079,0.108755745,0.0047450853,0.004541231,0.8291443,0.0045403964,0.034736466,0.004520101
0.050225183,0.09157278,0.004450712,0.0037709177,0.004349754,0.7334587,0.0043487567,0.016296374,0.0915268
0.00605325,0.0068142517,0.0057551484,0.5869365,0.0060571088,0.095580235,0.28146932,0.005592606,0.0057416596
0.0065330965,0.90370053,0.027463907,0.00629276,0.006999152,0.029164977,0.006880396,0.0061935172,0.0067716814
0.08397292,0.04405558,0.0018030095,0.0015101635,0.6924162,0.010153106,0.13913563,0.0014781462,0.025475252
0.036456373,0.28733966,0.0064626085,0.005950931,0.18512598,0.006066372,0.15656744,0.005916812,0.31011382
0.026449464,0.0051061227,0.0049776384,0.0050689667,0.03545299,0.8012699,0.111663744,0.00487967,0.005131567
0.004084233,0.08423923,0.12916099,0.5184173,0.019266764,0.19023253,0.045929886,0.0040439595,0.0046250564
0.003538143,0.1582579,0.033951808,0.0036990778,0.08715888,0.5188694,0.15113233,0.0033059197,0.04008652
0.12228331,0.0055628996,0.00618272,0.0054160487,0.46438816,0.0052301153,0.37939554,0.0052026925,0.006338538
0.026518365,0.39565068,0.0047918567,0.122216225,0.38283524,0.05259664,0.00519943,0.0047170087,0.005474519
0.0037757275,0.29642364,0.0036330477,0.018554559,0.0035939408,0.0034716302,0.035589486,0.003424452,0.63153344
0.12969227,0.26839903,0.0045009884,0.34824944,0.0049725855,0.036202747,0.19853568,0.004395998,0.005051274
0.0040987595,0.0050788675,0.28062922,0.004002713,0.0041415375,0.5634693,0.004184548,0.024320893,0.110074125
0.0028192846,0.040341936,0.0028995215,0.06653868,0.052614886,0.0029830486,0.8001455,0.002549706,0.029107414
0.0031882862,0.062928066,0.0031494475,0.0030055766,0.17997837,0.0029368366,0.51688695,0.0028429038,0.22508349
0.08611468,0.06254391,0.0020924578,0.0020062253,0.002287244,0.002090969,0.8099526,0.0019844114,0.030927483
0.020941908,0.50115925,0.003787758,0.28637248,0.022272551,0.0035073208,0.11074351,0.015031308,0.0361839
0.005564978,0.26005143,0.0055298447,0.0056902957,0.005957726,0.0055466006,0.0056726453,0.0054883966,0.70049816
0.0023152605,0.287776,0.0022769314,0.0032836443,0.0023371098,0.0022702669,0.08921412,0.0022250067,0.60830164
0.0047513745,0.63365287,0.00451897,0.024329003,0.057819422,0.00476639,0.08623412,0.004438964,0.17948903
0.77658355,0.0012656376,0.0030922063,0.0067726457,0.008076503,0.0011536024,0.14040825,0.061262228,0.0013854904
0.0931068,0.10403434,0.0026427882,0.002300022,0.36707115,0.0022430904,0.29402128,0.0021839088,0.1323966
0.082421295,0.31666934,0.1575505,0.003026989,0.28596106,0.014957176,0.13269131,0.0030121836,0.0037101281
0.043361448,0.39618045,0.017428167,0.3362445,0.0027758472,0.0022712732,0.1609956,0.0021856518,0.038557135
0.00660849,0.18623118,0.0077781547,0.106518686,0.12337449,0.0064318157,0.053138576,0.006413855,0.5035047
0.018015295,0.0015862597,0.010242815,0.0014654127,0.001624193,0.0015319586,0.9208735,0.0014635406,0.043197066
0.039768483,0.049947824,0.011644923,0.014051349,0.42011797,0.0017679533,0.4592881,0.0016709273,0.0017424523
0.003683159,0.26933333,0.12007524,0.0037417475,0.06295976,0.0035137532,0.49176311,0.0034411242,0.04148885
0.5802468,0.017430542,0.009852952,0.0015031928,0.008542283,0.08614631,0.07776074,0.0014547406,0.21706247
0.006744321,0.0076850005,0.0066134348,0.006521636,0.006592757,0.0065453183,0.03721904,0.006424778,0.9156537
0.0072045634,0.1307021,0.04216652,0.007295722,0.17321388,0.0069383876,0.0076165376,0.0068653314,0.617997
0.16920736,0.18525517,0.003649639,0.024131577,0.57358545,0.003748755,0.03282862,0.003635206,0.0039582197
0.0036825428,0.14507778,0.003576004,0.0035618974,0.0039396985,0.0035435592,0.6787992,0.0035205455,0.15429877
0.2015194,0.0049966546,0.04303801,0.021241745,0.45277557,0.0047282246,0.21464375,0.0047227563,0.052333903
0.2345416,0.003792287,0.0032806457,0.003266602,0.6454041,0.003524174,0.09949959,0.0032486888,0.0034423438
0.003506496,0.14437018,0.003440132,0.0036350365,0.003919557,0.0033522893,0.0034792526,0.0033453917,0.8309517
0.004186083,0.38784105,0.0039088135,0.0038331538,0.030264026,0.0038488277,0.004048243,0.0038110893,0.55825883
0.005598344,0.20854968,0.006077537,0.0052865865,0.41231975,0.0061011,0.22751665,0.1223034,0.0062469686
0.0017683004,0.15505327,0.0017002043,0.0017285949,0.0017358368,0.0017046846,0.13226333,0.0016782122,0.70236754
0.052480068,0.7197131,0.005570685,0.061947867,0.07192751,0.006274684,0.033900693,0.042671602,0.0055138003
0.006431737,0.0067131002,0.0062798695,0.006287489,0.24502969,0.0059669823,0.71104026,0.0058047017,0.006446113
0.1347803,0.0705305,0.0021536364,0.0021795584,0.47188842,0.0023683226,0.2333575,0.002125695,0.08061606
0.0072053047,0.8243064,0.00587847,0.0054639126,0.0054284465,0.005740731,0.13445063,0.0052997526,0.006226299
0.0033113246,0.17039669,0.0032348516,0.003150957,0.0032822208,0.0031772559,0.04608757,0.0031415047,0.7642176
0.19003993,0.30812627,0.0020493004,0.17634149,0.14593129,0.0020138863,0.13642055,0.009034886,0.030042408
0.0030657586,0.2353862,0.0029723945,0.0029551547,0.0030761545,0.002976644,0.0030918643,0.013170706,0.7333051
